"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2021","94,133","94,133","94,667","93,333","1.26M","0.00%"
"03/11/2021","94,133","94,222","96,000","93,867","1.25M","-0.09%"
"03/10/2021","94,222","92,889","94,222","90,756","648.34K","1.63%"
"03/09/2021","92,711","93,333","94,489","88,889","1.79M","-1.60%"
"03/08/2021","94,222","94,667","95,111","93,333","1.56M","-0.28%"
"03/05/2021","94,489","95,022","95,556","94,044","1.46M","-0.56%"
"03/04/2021","95,022","95,644","95,911","94,756","1.88M","0.00%"
"03/03/2021","95,022","94,756","96,178","94,667","1.21M","-1.20%"
"03/02/2021","96,178","96,444","96,978","94,400","1.04M","-0.28%"
"03/01/2021","96,444","97,689","97,689","95,733","874.91K","-0.46%"
"02/26/2021","96,889","94,400","97,689","94,400","1.04M","0.09%"
"02/25/2021","96,800","97,333","97,689","94,311","1.14M","0.65%"
"02/24/2021","96,178","99,022","99,022","94,222","1.07M","-1.64%"
"02/23/2021","97,778","96,178","99,289","95,556","1.57M","0.27%"
"02/22/2021","97,511","97,067","98,400","94,222","1.67M","0.64%"
"02/19/2021","96,889","95,644","97,333","95,111","1.61M","-0.91%"
"02/18/2021","97,778","95,556","97,778","94,311","1.61M","1.85%"
"02/17/2021","96,000","94,489","96,000","94,400","1.41M","1.69%"
"02/09/2021","94,400","92,444","94,667","90,222","1.98M","5.15%"
"02/08/2021","89,778","95,822","95,822","89,778","3.85M","-6.05%"
"02/05/2021","95,556","93,333","95,556","93,333","1.04M","2.38%"
"02/04/2021","93,333","95,467","95,556","90,667","1.15M","-2.33%"
"02/03/2021","95,556","93,333","96,000","93,333","1.91M","1.51%"
"02/02/2021","94,133","88,000","94,133","88,000","1.99M","6.97%"
"02/01/2021","88,000","88,356","91,556","87,822","1.51M","-0.40%"
"01/29/2021","88,356","82,222","88,444","82,222","1.90M","6.88%"
"01/28/2021","82,667","83,822","85,333","82,667","1.96M","-7.00%"
"01/27/2021","88,889","90,222","91,556","88,444","1.68M","-1.48%"
"01/26/2021","90,222","93,156","93,333","88,533","1.16M","-3.15%"
"01/25/2021","93,156","93,333","94,044","92,533","930.71K","-0.19%"
"01/22/2021","93,333","93,422","94,667","93,333","1.23M","-0.10%"
"01/21/2021","93,422","93,333","93,511","91,556","1.76M","1.74%"
"01/20/2021","91,822","91,556","93,333","91,111","2.11M","0.58%"
"01/19/2021","91,289","98,044","98,044","91,200","1.54M","-6.89%"
"01/18/2021","98,044","99,556","99,644","97,867","930.26K","-0.81%"
"01/15/2021","98,844","99,022","99,733","97,600","1.39M","0.72%"
"01/14/2021","98,133","99,111","99,822","97,778","1.62M","-0.63%"
"01/13/2021","98,756","101,689","101,867","98,756","1.39M","-2.88%"
"01/12/2021","101,689","103,111","103,111","101,067","1.10M","0.53%"
"01/11/2021","101,156","100,267","101,867","100,267","1.73M","1.79%"
"01/08/2021","99,378","97,867","100,178","97,867","1.52M","1.54%"
"01/07/2021","97,867","98,133","98,667","96,889","970.09K","-0.09%"
